,F1
PCT_SBP09,0.6013071895424837
FOODINSEC_10_12,0.6428988895382818
SNAP_PART_RATE13,0.6481700118063755
AGRITRSM_RCT07,0.6545454545454545
POPLOSS10,0.6607248960190137
LACCESS_CHILD10,0.6646525679758308
PC_SNAPBEN10,0.6742108397855866
PCT_HISP10,0.6783343391671697
PC_FFRSALES07,0.6870870870870871
PCT_LOCLSALE12,0.6891566265060242
LACCESS_LOWI10,0.6915662650602411
FARM_TO_SCHOOL09,0.6919831223628692
LACCESS_POP10,0.6928183464091732
PCH_SUPERCPTH_09_14,0.6932367149758455
GHVEG_SQFTPTH07,0.6933333333333334
BERRY_ACRES07,0.6945962355798422
PCT_NHPI10,0.6950182260024301
FFR09,0.6950182260024301
PCT_FREE_LUNCH14,0.6950182260024301
PC_WIC_REDEMP08,0.6945962355798422
PCH_FRESHVEG_ACRESPTH_07_12,0.6945962355798422
BERRY_ACRES12,0.6941747572815534
FFR14,0.6941747572815534
PCT_LOCLSALE07,0.6937537901758642
PCH_AGRITRSM_RCT_07_12,0.6933333333333334
WICS12,0.6933333333333334
PCH_FRESHVEG_ACRES_07_12,0.6933819064966606
PCH_CONVS_09_14,0.6930091185410334
LACCESS_SENIORS10,0.6930091185410334
PCH_SLHOUSE_07_12,0.6925880923450789
PC_WIC_REDEMP12,0.6925880923450789
PCT_REDUCED_LUNCH09,0.6930091185410334
ORCHARD_FARMS07,0.6934306569343065
ORCHARD_ACRESPTH07,0.6934306569343065
SNAP_OAPP09,0.6926829268292682
FRESHVEG_FARMS07,0.6934795856185253
ORCHARD_FARMS12,0.6943258084197682
PCH_RECFAC_09_14,0.6947496947496947
FFRPTH14,0.69559902200489
AGRITRSM_OPS12,0.6959171237050579
BERRY_ACRESPTH12,0.6959706959706959
BERRY_ACRESPTH07,0.6959706959706959
WICS08,0.6959706959706959
GHVEG_SQFTPTH12,0.695174098961515
ORCHARD_ACRESPTH12,0.6947496947496947
DIRSALES_FARMS12,0.6939024390243902
PCH_GHVEG_SQFT_07_12,0.6946983546617915
GHVEG_SQFT12,0.6946983546617915
PCH_GHVEG_SQFTPTH_07_12,0.6946983546617915
BERRY_FARMS12,0.693852708460134
ORCHARD_ACRES07,0.6942752740560292
ORCHARD_ACRES12,0.6934795856185253
DIRSALES12,0.6937537901758642
DIRSALES07,0.6930091185410334
RECFAC09,0.6941747572815534
SNAPS12,0.6937046004842614
FRESHVEG_ACRES12,0.6941247728649304
CONVSPTH14,0.6945454545454546
CONVS14,0.6949152542372882
FRESHVEG_ACRESPTH12,0.6953361599030891
CONVS09,0.6953361599030891
VEG_ACRES07,0.6945454545454546
PCH_VEG_ACRES_07_12,0.6929133858267715
VEG_ACRESPTH07,0.6933819064966606
VEG_ACRES12,0.6938031591737546
SNAPSPTH12,0.6942752740560292
VEG_ACRESPTH12,0.6942752740560292
SLHOUSE12,0.6939523518631644
SNAP_BBCE09,0.6955460646735815
PCH_AGRITRSM_OPS_07_12,0.6963414634146341
VEG_FARMS07,0.6946983546617915
PCH_BERRY_FARMS_07_12,0.693852708460134
PCH_ORCHARD_ACRESPTH_07_12,0.693852708460134
FARM_TO_SCHOOL13,0.6927784577723378
PCH_ORCHARD_ACRES_07_12,0.6956521739130435
PCT_65OLDER10,0.6969325153374233
SNAP_CAP09,0.698159509202454
RECFAC14,0.7003076923076924
RECFACPTH14,0.7002457002457003
FDPIR12,0.7005511328842621
GROC09,0.6993263931414574
